Smiles,solvent,ppm_values
CCB(CC)c1cccc(B(CC)CC)c1,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],67.5
c1ccc(N2CCc3ccccc3C2B2C3CCCC2CCC3)nc1,[2H]C(Cl)(Cl)Cl,0.2
C[N+]12CC[N+]([B-](F)(F)F)(CC1)CC2.F[B-](F)(F)F,[2H]O[2H],-20.8
CC1(C)OB(N2CCN(C3OC(C)(C)C(C)(C)O3)c3ccccc32)OC1(C)C,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],24.1
CC(B(CC[Si](C)(Cl)Cl)C(C)[Si](C)(Cl)Cl)[Si](C)(Cl)Cl,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],80.0
CC1(C)OB(/C=C/c2ccc(Br)cc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,29.6
COC(=O)c1ccc(C=C=CC(B2OC(C)(C)C(C)(C)O2)B2OC(C)(C)C(C)(C)O2)cc1,[2H]C(Cl)(Cl)Cl,33.2
CN1CC(=O)OB(C(CBr)C(=O)c2ccc(Cl)cc2)OC(=O)C1,[2H]C([2H])([2H])C#N,10.27
CCCC[P+](CCCC)(CCCC)[B-](C(Cl)Cl)(C(Cl)Cl)C(Cl)Cl,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],-9.3
CCO[Si](OCC)(OCC)c1cc(F)c(B2OC(C)(C)CC(C)(C)O2)cc1OC,[2H]C(Cl)(Cl)Cl,25.9
CC1(C)OB([C@H]2[C@H]3C[C@@H]4[C@H]([C@@H]3c3cccc(OCc5ccccc5)c3)[C@@H]42)OC1(C)C,[2H]C(Cl)(Cl)Cl,33.4
COc1cccc(CCC[C@@](C)(CB2OC(C)(C)C(C)(C)O2)/C(=N/N2CCCCC2)C(F)(F)F)c1,[2H]C(Cl)(Cl)Cl,33.8
C(B(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1)=P(c1ccccc1)(c1ccccc1)c1ccccc1,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],50.0
C=C(B1OC(C)(C)C(C)(C)O1)[C@](C)(B1OC(C)(C)C(C)(C)O1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,[2H]C(Cl)(Cl)Cl,32.1
CCOC(=O)c1nc2ccccc2cc1B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,30.6
CCCC/C=C\B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,18.3
COc1ccc2nc(C)cc(B3OC(C)(C)C(C)(C)O3)c2c1,[2H]C(Cl)(Cl)Cl,31.09
CC1C([BH2-][n+]2ccc(N(C)C)cc2)CC2CC1C2(C)C,[2H]C(Cl)(Cl)Cl,-2.3
CCOC(=O)C(F)(F)[C@H](CCN1C(=O)c2ccccc2C1=O)C(I)[B-]12OC(=O)C[N+]1(C)CC(=O)O2,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],10.23
COC(=O)C[BH2-]N1C=C(C)C=C(C)C1,[2H]C(Cl)(Cl)Cl,-6.09
CCCC/C(B1OC(C)(C)C(C)(C)O1)=C(\c1ccc(C)cc1)c1c(C(=O)OC2COC2)ccc2ccc(OC)cc12,[2H]C(Cl)(Cl)Cl,29.71
CCCCC=C=CC(B1OC(C)(C)C(C)(C)O1)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,33.1
CCOC(=O)[B-](Br)(Br)[N+](C)(C)C,[2H]C(Cl)(Cl)Cl,0.93
CC1(C)OB(OCc2ccc(Cl)cc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,22.05
COc1cc(B2OC(C)(C)C(C)(C)O2)cc(OC)c1OC,[2H]C(Cl)(Cl)Cl,30.64
C[C@H](CCC1(B2OC(C)(C)C(C)(C)O2)CC(c2ccc3ccccc3c2-c2nccc3ccccc23)C1)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O[Si](C)(C)C(C)(C)C)CC[C@]4(C)[C@H]3CC[C@]12C,[2H]C(Cl)(Cl)Cl,34.9
