feature_idx,mean_abs_shap,feature_name,feature_block
1185,0.022937102773340746,compound_fr_aniline,compound_rdkit
69,0.02271941013914888,compound_morgan_bit_69,compound_morgan
650,0.022431307046737757,compound_morgan_bit_650,compound_morgan
1167,0.022379365760942953,compound_fr_C_O_noCOO,compound_rdkit
872,0.022220969166007166,compound_morgan_bit_872,compound_morgan
198,0.021559050798617127,compound_morgan_bit_198,compound_morgan
2282,0.021533441238257522,solvent_FpDensityMorgan3,solvent_rdkit
1116,0.02148396524504838,compound_EState_VSA7,compound_rdkit
881,0.021314968030017197,compound_morgan_bit_881,compound_morgan
1131,0.021314534526941892,compound_NHOHCount,compound_rdkit
974,0.021230066487479164,compound_morgan_bit_974,compound_morgan
1054,0.020024579496888146,compound_Chi0n,compound_rdkit
117,0.019974526388475106,compound_morgan_bit_117,compound_morgan
289,0.019934343490060853,compound_morgan_bit_289,compound_morgan
926,0.019689941124138584,compound_morgan_bit_926,compound_morgan
51,0.01965860881691588,compound_morgan_bit_51,compound_morgan
1133,0.019634411594085993,compound_NumAliphaticCarbocycles,compound_rdkit
2281,0.019560756610543822,solvent_FpDensityMorgan2,solvent_rdkit
574,0.019544320576436187,compound_morgan_bit_574,compound_morgan
239,0.0190494390131343,compound_morgan_bit_239,compound_morgan
2324,0.01897615508038951,solvent_PEOE_VSA8,solvent_rdkit
350,0.018617430332076256,compound_morgan_bit_350,compound_morgan
499,0.018354853350661768,compound_morgan_bit_499,compound_morgan
537,0.01816783950555056,compound_morgan_bit_537,compound_morgan
1175,0.01781465610083552,compound_fr_Ndealkylation1,compound_rdkit
1033,0.0177814774286257,compound_NumValenceElectrons,compound_rdkit
68,0.017775301337947268,compound_morgan_bit_68,compound_morgan
1056,0.017717074934317453,compound_Chi1,compound_rdkit
542,0.01762068022048609,compound_morgan_bit_542,compound_morgan
1155,0.017603643009722843,compound_MolMR,compound_rdkit
468,0.017473960071464928,compound_morgan_bit_468,compound_morgan
2276,0.017437332340114416,solvent_MaxPartialCharge,solvent_rdkit
718,0.01733270642135675,compound_morgan_bit_718,compound_morgan
1120,0.0171406659488283,compound_VSA_EState10,compound_rdkit
1055,0.017070955532076295,compound_Chi0v,compound_rdkit
585,0.016969801413792267,compound_morgan_bit_585,compound_morgan
437,0.016468781926593887,compound_morgan_bit_437,compound_morgan
1105,0.01631914941940033,compound_SlogP_VSA8,compound_rdkit
761,0.016308056197673216,compound_morgan_bit_761,compound_morgan
1192,0.015984930687235856,compound_fr_bicyclic,compound_rdkit
720,0.015609350933775622,compound_morgan_bit_720,compound_morgan
1115,0.015495312013450368,compound_EState_VSA6,compound_rdkit
842,0.015387161625107445,compound_morgan_bit_842,compound_morgan
259,0.01536308648543592,compound_morgan_bit_259,compound_morgan
425,0.01501979653072557,compound_morgan_bit_425,compound_morgan
1070,0.014849837848872342,compound_LabuteASA,compound_rdkit
1079,0.014836975869075415,compound_PEOE_VSA4,compound_rdkit
1242,0.013882351102872023,solvent_morgan_bit_1,solvent_morgan
679,0.013742906841173774,compound_morgan_bit_679,compound_morgan
1094,0.013644697070821454,compound_SMR_VSA9,compound_rdkit
2325,0.013623490615664747,solvent_PEOE_VSA9,solvent_rdkit
383,0.013608818549667048,compound_morgan_bit_383,compound_morgan
134,0.013426565818647991,compound_morgan_bit_134,compound_morgan
128,0.013291142315756278,compound_morgan_bit_128,compound_morgan
2265,0.013255064938150766,solvent_MaxAbsEStateIndex,solvent_rdkit
2274,0.013043236708924546,solvent_NumValenceElectrons,solvent_rdkit
1182,0.01301810753569918,compound_fr_allylic_oxid,compound_rdkit
609,0.012947728217997691,compound_morgan_bit_609,compound_morgan
77,0.012856142648303204,compound_morgan_bit_77,compound_morgan
61,0.012844818017388772,compound_morgan_bit_61,compound_morgan
715,0.012718650752302411,compound_morgan_bit_715,compound_morgan
1139,0.0126766935896822,compound_NumAromaticRings,compound_rdkit
833,0.012589489149216282,compound_morgan_bit_833,compound_morgan
548,0.012491716186935025,compound_morgan_bit_548,compound_morgan
291,0.012428194981074522,compound_morgan_bit_291,compound_morgan
935,0.012129105002236643,compound_morgan_bit_935,compound_morgan
695,0.011914761500417249,compound_morgan_bit_695,compound_morgan
2285,0.011712777453218819,solvent_BCUT2D_CHGHI,solvent_rdkit
913,0.011615936833086296,compound_morgan_bit_913,compound_morgan
2322,0.011590166955021035,solvent_PEOE_VSA6,solvent_rdkit
78,0.011472403874213912,compound_morgan_bit_78,compound_morgan
1482,0.011305134283506688,solvent_morgan_bit_241,solvent_morgan
378,0.011236822962812138,compound_morgan_bit_378,compound_morgan
319,0.011201830555887334,compound_morgan_bit_319,compound_morgan
932,0.011086090843561509,compound_morgan_bit_932,compound_morgan
114,0.011015756951538948,compound_morgan_bit_114,compound_morgan
285,0.010990465622770963,compound_morgan_bit_285,compound_morgan
1019,0.010674630422300563,compound_morgan_bit_1019,compound_morgan
1,0.01065751468945071,compound_morgan_bit_1,compound_morgan
138,0.010588558813671982,compound_morgan_bit_138,compound_morgan
170,0.010584979832054735,compound_morgan_bit_170,compound_morgan
148,0.010169188252163713,compound_morgan_bit_148,compound_morgan
591,0.010126951919910577,compound_morgan_bit_591,compound_morgan
2269,0.010020739384949785,solvent_qed,solvent_rdkit
292,0.009804150446839337,compound_morgan_bit_292,compound_morgan
64,0.00955957904302565,compound_morgan_bit_64,compound_morgan
48,0.009456971269258235,compound_morgan_bit_48,compound_morgan
775,0.009070662325147357,compound_morgan_bit_775,compound_morgan
204,0.00901684077419405,compound_morgan_bit_204,compound_morgan
928,0.008969545663733399,compound_morgan_bit_928,compound_morgan
408,0.008927836471096734,compound_morgan_bit_408,compound_morgan
203,0.008926490647522581,compound_morgan_bit_203,compound_morgan
1172,0.008904703034261488,compound_fr_NH1,compound_rdkit
918,0.008892165080805998,compound_morgan_bit_918,compound_morgan
1166,0.008870439598467469,compound_fr_C_O,compound_rdkit
672,0.008852461258493429,compound_morgan_bit_672,compound_morgan
105,0.008811849493249223,compound_morgan_bit_105,compound_morgan
1004,0.008794404883283119,compound_morgan_bit_1004,compound_morgan
807,0.008615142923227553,compound_morgan_bit_807,compound_morgan
767,0.008603777431711094,compound_morgan_bit_767,compound_morgan
606,0.008562959682289862,compound_morgan_bit_606,compound_morgan
2301,0.00854779539563401,solvent_Chi2v,solvent_rdkit
452,0.00837441026134553,compound_morgan_bit_452,compound_morgan
2284,0.008359781324803627,solvent_BCUT2D_MWLOW,solvent_rdkit
1229,0.0082541198933819,compound_fr_pyridine,compound_rdkit
970,0.008249675392764753,compound_morgan_bit_970,compound_morgan
1032,0.008115657842937088,compound_ExactMolWt,compound_rdkit
33,0.008081694629384479,compound_morgan_bit_33,compound_morgan
453,0.008077169052694209,compound_morgan_bit_453,compound_morgan
2278,0.008001066997338087,solvent_MaxAbsPartialCharge,solvent_rdkit
188,0.007969764506892829,compound_morgan_bit_188,compound_morgan
278,0.00794866095845106,compound_morgan_bit_278,compound_morgan
192,0.007912855822445348,compound_morgan_bit_192,compound_morgan
541,0.007858570366055903,compound_morgan_bit_541,compound_morgan
806,0.007808566154001004,compound_morgan_bit_806,compound_morgan
726,0.007805347372071153,compound_morgan_bit_726,compound_morgan
539,0.007792876576417744,compound_morgan_bit_539,compound_morgan
1220,0.0077237031238346875,compound_fr_para_hydroxylation,compound_rdkit
2266,0.007686017615476916,solvent_MaxEStateIndex,solvent_rdkit
803,0.00766275595663268,compound_morgan_bit_803,compound_morgan
1274,0.00764110245766296,solvent_morgan_bit_33,solvent_morgan
795,0.007627050864747127,compound_morgan_bit_795,compound_morgan
1162,0.007368818268897039,compound_fr_Ar_NH,compound_rdkit
746,0.007356893887231959,compound_morgan_bit_746,compound_morgan
652,0.007317434170455139,compound_morgan_bit_652,compound_morgan
451,0.007315918985793833,compound_morgan_bit_451,compound_morgan
2283,0.0072830634363152515,solvent_BCUT2D_MWHI,solvent_rdkit
492,0.007238005356562214,compound_morgan_bit_492,compound_morgan
389,0.007201873190579564,compound_morgan_bit_389,compound_morgan
59,0.0071848903350293526,compound_morgan_bit_59,compound_morgan
41,0.007180965262741981,compound_morgan_bit_41,compound_morgan
80,0.007180929623626566,compound_morgan_bit_80,compound_morgan
45,0.007112050934697088,compound_morgan_bit_45,compound_morgan
648,0.006954257333037761,compound_morgan_bit_648,compound_morgan
427,0.006937915422152316,compound_morgan_bit_427,compound_morgan
301,0.006934925948235181,compound_morgan_bit_301,compound_morgan
738,0.00686899865423296,compound_morgan_bit_738,compound_morgan
