Smiles,solvent,solvent_Smiles,chemical_shift,book_serial_num
C[Si](C)(C)C(B(C1C=Cc2ccccc21)C1C=Cc2ccccc21)([Si](C)(C)C)[Si](C)(C)C,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],48.2,3369
CC(C)(C)c1cccc(C(C)(C)C)c1OB(F)Oc1c(C(C)(C)C)cccc1C(C)(C)C,CDCl3,[2H]C(Cl)(Cl)Cl,14,3372
CCC1=C(C)C2=C(C)c3c(C)c(CC)c(C)n3[B-](C#C[Si](C)(C)C)(C#C[Si](C)(C)C)[N+]2=C1C,CDCl3,[2H]C(Cl)(Cl)Cl,-11.1,3374
CB(C)c1c(B(C)C)c([B-](C)(C)[n+]2ccccc2)c(B(C)C)c(B(C)C)c1[B-](C)(C)[n+]1ccccc1,d8-THF,[2H]C1([2H])OC([2H])([2H])C([2H])([2H])C1([2H])[2H],55.4,3386
CO[B-](c1cccc(-c2cccc([B-](OC)(C(C)(C)C)C(C)(C)C)n2)n1)(C(C)(C)C)C(C)(C)C.[Li+].[Li+],d8-THF,[2H]C1([2H])OC([2H])([2H])C([2H])([2H])C1([2H])[2H],5.1,3390
C/C(=C1\CC2C[C@H]3CB1C[C@@H](C2)C3)[Si](C)(C)[Si](C)(C)/C(C)=C1/CC2C[C@H]3CB1C[C@@H](C2)C3,CDCl3,[2H]C(Cl)(Cl)Cl,82.5,3391
Cc1cc(C)c(P(B(Cl)C([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)c2c(C)cc(C)cc2C)c(C)c1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],73.2,3392
C[Sn](C)(C)C(=C=C1CCCCB(n2ccc3ccccc32)C1([Sn](C)(C)C)[Sn](C)(C)C)[Sn](C)(C)C,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],54,3393
Cc1cc(C)c(PB(Pc2c(C)cc(C)cc2C)C([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C)c(C)c1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],83.4,3396
CC(C)N(B(Cl)c1ccc(B(c2ccc(B(Cl)N(C(C)C)C(C)C)n2C)N(C(C)C)C(C)C)n1C)C(C)C,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],35,3397
C[Si](C)(C)C12B3CC4C[C@@H]5C[C@H](C4)C[C@]3(C5)C([Si](C)(C)C)(B3CC4C[C@@H]5C[C@H](C4)C[C@@]31C5)[Sn]2(C)C,CDCl3,[2H]C(Cl)(Cl)Cl,84.9,3398
CC(C)(C)B(N1B(C(C)(C)C)[N+](C(C)(C)C)=[B-]1C(C)(C)C)N1B(C(C)(C)C)[N+](C(C)(C)C)=[B-]1C(C)(C)C,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],41.5,3404
CCB(CC)C1=C([Si](C)(C)C)[Sn](N([Si](C)(C)C)[Si](C)(C)C)(N([Si](C)(C)C)[Si](C)(C)C)C([Si](C)(C)C)=C1CC,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],87,3405
CC(C)(C)[NH2+][B-](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)C1c2ccccc2-c2ccccc21,CDCl3,[2H]C(Cl)(Cl)Cl,-4.2,3414
C[Si](C)(C)C(c1ccccc1)C(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1ccc(F)cc1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],74.8,3415
C[Si](C)(C)C(c1ccc(F)cc1)C(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1ccccc1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],74.7,3416
C[Si](C)(C)[C@H](c1ccccc1)[C@H](B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1ccccc1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],65.8,3417
C[Si](C)(C)C(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C(c1ccccc1)c1ccccc1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],78.4,3418
CC(C)(C)c1ccc([B-]2(c3ccc(C(C)(C)C)cc3)Oc3cccc4ccc[n+]2c34)cc1,CDCl3,[2H]C(Cl)(Cl)Cl,12,3422
Cc1ccc2c(c1)OB(c1ccccc1)N2CCCN1B(c2ccccc2)Oc2cc(C)ccc21,CDCl3,[2H]C(Cl)(Cl)Cl,34.1,3423
Cc1ccc2c(c1)N(CCCN1B(c3ccccc3)Oc3ccc(C)cc31)B(c1ccccc1)O2,CDCl3,[2H]C(Cl)(Cl)Cl,34.2,3424
COc1ccc(N2C(=O)c3ccccc3[C@@H](C(=O)O)[C@H]2c2ccc(B3OC(C)(C)C(C)(C)O3)cc2)cc1,CDCl3,[2H]C(Cl)(Cl)Cl,28.9,3425
CC(C)(C)c1ccc([B-]2(c3ccc(C(C)(C)C)cc3)Oc3ccc(Cl)c4ccc[n+]2c34)cc1,CDCl3,[2H]C(Cl)(Cl)Cl,12,3426
CC(C)(C)c1ccc([B-]2(c3ccc(C(C)(C)C)cc3)Oc3ccc([N+](=O)[O-])c4ccc[n+]2c34)cc1,CDCl3,[2H]C(Cl)(Cl)Cl,13,3427
CC(=O)c1ccc([B@-]23Oc4ccccc4[N@H+]2Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O3)cc1,CDCl3,[2H]C(Cl)(Cl)Cl,7.4,3432
CC(=O)c1cccc([B@-]23Oc4ccccc4[N@H+]2Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O3)c1,CDCl3,[2H]C(Cl)(Cl)Cl,8.6,3433
CB1N(C(C)C)B(C)N(C(C)C)B([Ge](c2ccccc2)(c2ccccc2)c2ccccc2)N1C(C)C,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],41.4;38.5,3436
Cc1cccc(C)c1N=C1B(N(C(C)(C)C)[Si](C)(C)C)N(C(C)(C)C)C1=Nc1c(C)cccc1C,CDCl3,[2H]C(Cl)(Cl)Cl,41,3437
CC(C)N(B(c1ccc(B(N(C(C)C)C(C)C)N(C(C)C)C(C)C)n1C)N(C(C)C)C(C)C)C(C)C,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],33.7,3447
C[Se]B([Se]C)c1c(C([Si](C)(C)C)[Si](C)(C)C)cc(C([Si](C)(C)C)[Si](C)(C)C)cc1C([Si](C)(C)C)[Si](C)(C)C,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],76.6,3448
Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,CD2Cl2,[2H]C([2H])(Cl)Cl,41.7,3450
Fc1c(F)c(F)c([B-]2(c3c(F)c(F)c(F)c(F)c3F)[F+][B-](c3c(F)c(F)c(F)c(F)c3F)(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c32)c(F)c1F.[K+],CD2Cl2,[2H]C([2H])(Cl)Cl,0.3,3451
Fc1c(F)c(F)c([B-]2(c3c(F)c(F)c(F)c(F)c3F)[OH+][B-](c3c(F)c(F)c(F)c(F)c3F)(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c32)c(F)c1F.[K+],CD2Cl2,[2H]C([2H])(Cl)Cl,2.8,3452
Fc1c(F)c(F)c([B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)[PH+](c2ccccc2)c2ccccc2)c(F)c1F,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-9.4,3456
Fc1c(F)c(F)c(B(c2ccccc2N(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],58.8,3457
Fc1c(F)c(F)c([B-](Cl)(c2ccccc2[NH+](c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,CD2Cl2,[2H]C([2H])(Cl)Cl,-2.2,3458
Fc1c(F)c(F)c([B-](Cl)(c2ccccc2N(c2ccccc2)c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],CD2Cl2,[2H]C([2H])(Cl)Cl,-2.4,3459
O[B-](c1ccccc1[NH+](c1ccccc1)c1ccccc1)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-0.8,3460
Fc1c(F)c(F)c([B-]23OCC[N+]4=Cc5ccccc5O[B-]4(c4c(F)c(F)c(F)c(F)c4F)OCC[N+]2=Cc2ccccc2O3)c(F)c1F,CDCl3,[2H]C(Cl)(Cl)Cl,2,3462
c1ccc2c(c1)OB(c1cc(B3Oc4ccccc4O3)c(B3Oc4ccccc4O3)cc1B1Oc3ccccc3O1)O2,CDCl3,[2H]C(Cl)(Cl)Cl,22.2,3463
CCP(CC)(CC)=[N+](B1Oc2ccccc2O1)[B-](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],28.0;-6.4,3466
C[Si](C)(C)[NH+]1[B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)[NH+]([Si](C)(C)C)[B-]1(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],-2.8,3467
COc1ccc(C(C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2ccccc2)[Si](C)(C)C)cc1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],74.9,3468
COc1ccc(C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C(c2ccccc2)[Si](C)(C)C)cc1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],72.5,3469
Cc1ccc(C(C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2ccccc2)[Si](C)(C)C)cc1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],77.1,3470
Cc1ccc(C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C(c2ccccc2)[Si](C)(C)C)cc1,C6D6,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],78.5,3471
