Smiles,solvent,B_count,ppm_values
C=C(CC(=O)OC)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,29.58
C=C(CC(=O)OCCCc1ccccc1)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,29.69
C=C(CC(=O)OCC)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,29.57
COC(=O)C/C(=C\c1ccccc1)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,30.19
CCOC(=O)C/C(=C\c1ccccc1)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,30.2
CC1(C)OB(/C(=C/c2ccccc2)CC(=O)OCCCc2ccccc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,30.19
C/C=C(\CC(=O)OC)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,30.12
C/C=C(\CC(=O)OCC)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,29.98
C/C=C(\CC(=O)OC(C)C)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,30.01
C/C=C(\CC(=O)OC(C)(C)C)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,30.05
C/C=C(\CC(=O)OCc1ccccc1[N+](=O)[O-])B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,29.88
C/C=C(/B1OC(C)(C)C(C)(C)O1)C(C)C(=O)OCC,[2H]C(Cl)(Cl)Cl,1,30.05
c1ccc(P(c2ccccc2)c2ccccc2B2OCCO2)cc1,[2H]C(Cl)(Cl)Cl,1,31.8
CP(C)c1ccccc1B1OCCO1,[2H]C(Cl)(Cl)Cl,1,32
CP(C)c1ccccc1B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,31.3
CP(C)c1ccccc1B1OCC(C)(C)CO1,[2H]C(Cl)(Cl)Cl,1,29
C/C1=C/C[P+](C)(C)c2ccccc2[B-]2(O1)OC(C)(C)C(C)(C)O2,[2H]C([2H])([2H])C#N,1,6.6
CCC(=O)CC(C)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,34.08
F[B-](F)(F)/C=C/c1ccc(OC(F)(F)F)cc1.[K+],[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],1,3.06
CC1(C)OB(/C=C/c2ccc(OC(F)(F)F)cc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,30
CC1(C)OB(/C=C/c2ccc(Br)cc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,29.6
F[B-](F)(F)/C=C/c1ccc(Br)cc1.[K+],[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],1,2.36
CC1Nc2cc(/C=C/B3OC(C)(C)C(C)(C)O3)cnc2S1,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],1,29.5
CC1Nc2cc(/C=C/[B-](F)(F)F)cnc2S1.[K+],[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],1,2.8
F[B-](F)(F)/C=C/Cc1ccccc1.[K+],[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],1,2.41
CC1(C)OB(/C=C/c2ccc(C#N)cc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,29.3
N#Cc1ccc(/C=C/[B-](F)(F)F)cc1.[K+],[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],1,2.42
Fc1cc(F)cc(/C=C/[B-](F)(F)F)c1.[K+],[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],1,2.46
CC(C)(C)OC(=O)Nc1cccc(/C=C/B2OC(C)(C)C(C)(C)O2)c1,[2H]C(Cl)(Cl)Cl,1,30.5
CC(C)(C)OC(=O)Nc1cccc(/C=C/[B-](F)(F)F)c1.[K+],[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],1,2.7
Cc1ccccc1/C=C/[B-](F)(F)F.[K+],[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],1,2.55
F[B-](F)(F)/C=C/c1ccncc1.[K+],[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],1,2.38
CC1(C)OB(/C=C/c2ccnc(Cl)c2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,29.5
F[B-](F)(F)/C=C/c1ccnc(Cl)c1,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],1,1.9
CC1(C)OB(/C=C/c2ccc(C#N)nc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,29.3
N#Cc1ccc(/C=C/[B-](F)(F)F)cn1,[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],1,2.35
COC(=O)c1cncc(/C=C/B2OC(C)(C)C(C)(C)O2)c1,[2H]C(Cl)(Cl)Cl,1,28.5
COC(=O)c1cncc(/C=C/[B-](F)(F)F)c1.[K+],[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],1,2.27
Cc1ccc2cc(/C=C/B3OC(C)(C)C(C)(C)O3)ccc2n1,[2H]C(Cl)(Cl)Cl,1,29.8
Cc1ccc2cc(/C=C/[B-](F)(F)F)ccc2n1.[K+],[2H]C([2H])([2H])S(=O)C([2H])([2H])[2H],1,2.4
C/C(=C\c1ccccc1)C(O)/C(=C/C(C)(C)C)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,30
CCCCCC/C(=C\c1ccccc1)C(O)/C(=C/c1ccccc1)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,30.3
CC/C=C(\C)C(O)/C(=C/C(C)(C)C)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,37
CC/C=C(\C)C(O)/C(=C/c1ccccc1)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,30
CC1(C)OB(/C(=C\c2ccccc2)C(O)C2=CCCCC2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,30.3
CC1(C)OB(/C(=C\c2ccccc2)C(O)/C(Br)=C/c2ccccc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,30.2
CC1(C(O)C2(B3OC(C)(C)C(C)(C)O3)OC2c2ccccc2)OC1c1ccccc1,[2H]C(Cl)(Cl)Cl,1,29.7
CCCCCCC1(C(O)C2(B3OC(C)(C)C(C)(C)O3)OC2c2ccccc2)OC1c1ccccc1,[2H]C(Cl)(Cl)Cl,1,28.4
CCC1OC1(C)C(O)C1(B2OC(C)(C)C(C)(C)O2)OC1c1ccccc1,[2H]C(Cl)(Cl)Cl,1,29.4
CC1(C)OB(C2(C(O)C34CCCCC3O4)OC2c2ccccc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,29.7
CC1(C)OB(/C(=C\c2ccccc2)C(O)C2OC2c2ccccc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,30.2
CC(C)(C)/C=C(\B1OC(C)(C)C(C)(C)O1)C(O)C1(C)OC1c1ccccc1,[2H]C(Cl)(Cl)Cl,1,30.5
CCC1OC1(C)C(O)/C(=C/C(C)(C)C)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,30.2
CCCCCCC1(C(O)/C(=C/c2ccccc2)B2OC(C)(C)C(C)(C)O2)OC1c1ccccc1,[2H]C(Cl)(Cl)Cl,1,30.1
CCC1OC1(C)C(O)/C(=C/c1ccccc1)B1OC(C)(C)C(C)(C)O1,[2H]C(Cl)(Cl)Cl,1,30.8
CC1(C)OB(/C(=C\c2ccccc2)C(O)C23CCCCC2O3)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,30.5
C=C(B1Nc2cccc3cccc(c23)N1)c1ccc(OC)cc1,[2H]C(Cl)(Cl)Cl,1,29.1
C=C(B1Nc2cccc3cccc(c23)N1)c1ccc(C(F)(F)F)cc1,[2H]C(Cl)(Cl)Cl,1,29
C=C(CCCCCC)B1Nc2cccc3cccc(c23)N1,[2H]C(Cl)(Cl)Cl,1,28.5
C=C(B1Nc2cccc3cccc(c23)N1)C(C)(C)C,[2H]C(Cl)(Cl)Cl,1,30.1
C=C(B1Nc2cccc3cccc(c23)N1)[Si](C)(C)C,[2H]C(Cl)(Cl)Cl,1,30.1
C=C(COC)B1Nc2cccc3cccc(c23)N1,[2H]C(Cl)(Cl)Cl,1,27.9
C=C(CCBr)B1Nc2cccc3cccc(c23)N1,[2H]C(Cl)(Cl)Cl,1,28.2
C=C(B1Nc2cccc3cccc(c23)N1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,[2H]C(Cl)(Cl)Cl,1,28.7
C=C(B1OC(C)(C)C(C)(C)O1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,[2H]C(Cl)(Cl)Cl,1,30.1
CC1(C)OB([Se]c2ccccc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,32.82
C/C(Nc1c(C(C)C)cccc1C(C)C)=[N+](/[BH-](c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],1,-13.3
C/C(Nc1c(C(C)C)cccc1C(C)C)=[N+](/[BH-](c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1ccc(C#N)cc1,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],1,-14.6
CC1=[N+](c2c(F)c(F)c(F)c(F)c2F)[B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)N1c1c(C(C)C)cccc1C(C)C,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],1,7.52
CC1=[N+](c2c(F)c(F)c(F)c(F)c2F)[B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)C(=O)N1c1c(C(C)C)cccc1C(C)C,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],1,-10.01
CC1=[N+](c2ccc(C#N)cc2)[B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)C(=O)N1c1c(C(C)C)cccc1C(C)C,[2H]c1c([2H])c([2H])c(C([2H])([2H])[2H])c([2H])c1[2H],1,-10.2
Cc1ccc(N=C(N(B2OC(C)(C)C(C)(C)O2)c2ccc(C)cc2)P(c2ccccc2)c2ccccc2)cc1,[2H]C(Cl)(Cl)Cl,1,21.8
CC1(C)OB(N(C(=S)P(c2ccccc2)c2ccccc2)C2CCCCC2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,24.4
CC1(C)OB(OC(=O)P(c2ccccc2)c2ccccc2)OC1(C)C,[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H],1,22.7
CC(C)N=C(N(B1OC(C)(C)C(C)(C)O1)C(C)C)P(c1ccccc1)c1ccccc1,[2H]C(Cl)(Cl)Cl,1,21.6
CC1(C)OB(N(C(=NC2CCCCC2)P(c2ccccc2)c2ccccc2)C2CCCCC2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,22.4
CC1(C)OB(N(C(=O)P(c2ccccc2)c2ccccc2)c2ccccc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,25.2
CC1(C)OB(N(C(=O)P(c2ccccc2)c2ccccc2)c2ccc([N+](=O)[O-])cc2)OC1(C)C,[2H]C(Cl)(Cl)Cl,1,23.9
CCN(B1OC(C)(C)C(C)(C)O1)C(=O)P(c1ccccc1)c1ccccc1,[2H]C(Cl)(Cl)Cl,1,24.5
