compound_id,Smiles,source_doi,nmr_11b_frequency_mhz,nmr_11b_solvent,nmr_11b_shifts_ppm
(Z)-3i,CC(C)O[Si](C)(C)/C(=C\B1OC(C)(C)C(C)(C)O1)C1CCCCC1,10-1039_b800181b,128,[2H]C(Cl)(Cl)Cl,30.1
(Z)-3j,CC(C)O[Si](C)(C)/C(=C\B1OC(C)(C)C(C)(C)O1)C(C)(C)C,10-1039_b800181b,128,[2H]C(Cl)(Cl)Cl,30.5
,O=C([O-])C(F)(F)F.OB(O)C[C@H]1CCC[NH2+]1,10-1039_b806779a,128.4,[2H]C(Cl)(Cl)Cl,30.6
,OB(Cl)C[C@H]1CCC[NH2+]1,10-1039_b806779a,128.4,[2H]O[2H],30.7
,CC(C)(O)C(C)(C)O.OB(Cl)C[C@H]1CCC[NH2+]1,10-1039_b806779a,128.4,[2H]C(Cl)(Cl)Cl,32.1
,OB(Br)C[C@H]1CCC[NH2+]1,10-1039_b806779a,128.4,[2H]C(Cl)(Cl)Cl,30.2
,OB(I)C[C@H]1CCC[NH2+]1,10-1039_b806779a,128.4,[2H]C(Cl)(Cl)Cl,30.2
3BH3,[BH3-]c1n(-c2c(C)cc(C)cc2C)cc[n+]1-c1c(C)cc(C)cc1C,10-1039_c001466d,128,[2H]C(Cl)(Cl)Cl,-38.3
4BH3,[BH3-]c1n2c(c3[n+]1[C@@H](C(C)C)CO3)OC[C@@H]2C(C)C,10-1039_c001466d,96,[2H]C(Cl)(Cl)Cl,-37.9
5BH3,[BH3-]c1n2c(c3[n+]1[C@@H](C(C)(C)C)CO3)OC[C@@H]2C(C)(C)C,10-1039_c001466d,128,[2H]C(Cl)(Cl)Cl,-35.2
6BH3,[BH3-]c1n2c(c3[n+]1[C@@H]1c4ccccc4C[C@H]1O3)O[C@@H]1Cc3ccccc3[C@@H]12,10-1039_c001466d,96,[2H]C(Cl)(Cl)Cl,-35.3
39-BBN,Cc1cc(C)c(-n2cc[n+](-c3c(C)cc(C)cc3C)c2[BH-]2C3CCCC2CCC3)c(C)c1,10-1039_c001466d,96,[2H]C(Cl)(Cl)Cl,-16.6
